horizon_bars,horizon_minutes,positive_response,negative_response,positive_adjusted,negative_adjusted,adjusted_response,signal
1,5,-9.770467557820689e-05,8.796490235174943e-05,-9.770467557820689e-05,-8.796490235174943e-05,-9.283478896497816e-05,reversal
2,10,-0.00016326904093906194,0.00016376401188444536,-0.00016326904093906194,-0.00016376401188444536,-0.00016351652641175365,reversal
4,20,-0.00018821667967665562,0.00017074399540085918,-0.00018821667967665562,-0.00017074399540085918,-0.0001794803375387574,reversal
8,40,-0.00019565203904213722,9.782803942204145e-05,-0.00019565203904213722,-9.782803942204145e-05,-0.00014674003923208933,reversal
16,80,-0.00021640264898348122,5.111018200282234e-05,-0.00021640264898348122,-5.111018200282234e-05,-0.00013375641549315178,reversal
32,160,-0.00031593994600504806,-0.00012356516235012817,-0.00031593994600504806,0.00012356516235012817,-9.618739182745994e-05,reversal
64,320,-0.0004333355000654739,-0.00012638547920423761,-0.0004333355000654739,0.00012638547920423761,-0.00015347501043061815,reversal
128,640,-0.0007012165925442181,-0.00036965983867958465,-0.0007012165925442181,0.00036965983867958465,-0.0001657783769323167,reversal
