Window,IS_Start,IS_End,OOS_Start,OOS_End,IS_Bars,OOS_Bars,ChnLen,StpPct,IS_NetProfit,IS_MaxDrawdown,IS_Objective,Evaluations,RuntimeSeconds
1,2018-07-02 09:05:00,2022-06-30 15:00:00,2022-07-01 09:05:00,2022-12-30 15:00:00,69912,9000,500,0.005,421702.09250000416,-8792.179999999935,47.96331427473133,91296,5.429652833001455
2,2019-01-02 09:05:00,2022-12-30 15:00:00,2023-01-03 09:05:00,2023-06-30 15:00:00,69984,8496,3460,0.005,211847.07500000193,-4310.694999999949,49.14452889847332,91296,6.065130542003317
3,2019-07-01 09:05:00,2023-06-30 15:00:00,2023-07-03 09:05:00,2023-12-29 15:00:00,69984,8928,640,0.005,373730.8750000033,-9792.179999999877,38.16625868805598,91296,5.653951416024938
4,2020-01-02 09:05:00,2023-12-29 15:00:00,2024-01-02 09:05:00,2024-06-28 15:00:00,69840,8424,640,0.005,367307.73500000284,-9792.179999999877,37.51031282104776,91296,5.274138042004779
5,2020-07-01 09:05:00,2024-06-28 15:00:00,2024-07-01 09:05:00,2024-12-31 15:00:00,69840,9000,640,0.005,392360.60000000324,-9792.179999999818,40.06876916069869,91296,5.866745500010438
6,2021-01-04 09:05:00,2024-12-31 15:00:00,2025-01-02 09:05:00,2025-06-30 15:00:00,69768,8424,2030,0.005,232831.81500000076,-6181.090000000084,37.668407190317176,91296,6.1804719169740565
7,2021-07-01 09:05:00,2025-06-30 15:00:00,2025-07-01 09:05:00,2025-12-31 15:00:00,69696,9072,2030,0.005,349945.6800000014,-6181.090000000084,56.61552897628034,91296,5.996599834004883
