horizon_bars,horizon_minutes,positive_mean,positive_ci_lower,positive_ci_upper,negative_mean,negative_ci_lower,negative_ci_upper
1,5,-9.770467557820689e-05,-0.00012475277052903993,-7.065658062737384e-05,8.796490235174943e-05,5.86738816036682e-05,0.00011725592309983067
2,10,-0.00016326904093906194,-0.00019849651376654376,-0.00012804156811158012,0.00016376401188444536,0.0001260262025883399,0.0002015018211805508
4,20,-0.00018821667967665562,-0.00023546474771551728,-0.00014096861163779396,0.00017074399540085918,0.00012218602741597486,0.0002193019633857435
8,40,-0.00019565203904213722,-0.000258687175317123,-0.00013261690276715143,9.782803942204145e-05,3.405055516456082e-05,0.00016160552367952208
16,80,-0.00021640264898348122,-0.00030109482787568344,-0.000131710470091279,5.111018200282234e-05,-3.3881166948547587e-05,0.00013610153095419228
32,160,-0.00031593994600504806,-0.00043239040372588036,-0.00019948948828421575,-0.00012356516235012817,-0.00024092254880195212,-6.207775898304228e-06
64,320,-0.0004333355000654739,-0.0006037102398155835,-0.00026296076031536434,-0.00012638547920423761,-0.00029821900387506006,4.544804546658483e-05
128,640,-0.0007012165925442181,-0.0009417198573592661,-0.00046071332772917005,-0.00036965983867958465,-0.0006095090690154015,-0.0001298106083437678
