horizon_bars,horizon_minutes,variance_ratio,z_stat,p_value,significant_5pct,signal
1,5,,,,False,not-applicable
2,10,1.0160139314798373,1.3265141551135637,0.18466944963015297,False,random-walk-like
4,20,1.032342131166453,1.6664025631194987,0.0956332606414806,False,random-walk-like
8,40,1.030792703064671,1.227113046912033,0.21978010478824428,False,random-walk-like
16,80,1.0275351881216357,0.897926699827787,0.3692246291397271,False,random-walk-like
32,160,1.023082999784072,0.6040259386370561,0.545826397099085,False,random-walk-like
64,320,1.040348644437618,0.8848651149144704,0.37622938500787817,False,random-walk-like
128,640,1.0668912796462604,0.9498733798229388,0.3421765944919577,False,random-walk-like
