Window,IS_Start,IS_End,OOS_Start,OOS_End,IS_Bars,OOS_Bars,ChnLen,StpPct,IS_NetProfit,IS_MaxDrawdown,IS_Objective,Evaluations,RuntimeSeconds
1,2018-07-02 09:05:00,2024-06-28 15:00:00,2024-07-01 09:05:00,2024-12-31 15:00:00,104760,9000,640,0.005,567625.5850000053,-9792.179999999877,57.967233547587206,91296,9.860621208004886
2,2019-01-02 09:05:00,2024-12-31 15:00:00,2025-01-02 09:05:00,2025-06-30 15:00:00,104832,8424,1920,0.005,393604.9950000041,-6592.957499999553,59.70082394737579,91296,9.219332416978432
3,2019-07-01 09:05:00,2025-06-30 15:00:00,2025-07-01 09:05:00,2025-12-31 15:00:00,104760,9072,1920,0.005,502835.2100000044,-6592.957500000222,76.26853502392325,91296,9.975447292003082
