Window,IS_Start,IS_End,OOS_Start,OOS_End,IS_Bars,OOS_Bars,ChnLen,StpPct,IS_NetProfit,IS_MaxDrawdown,IS_Objective,Evaluations,RuntimeSeconds
1,2018-07-02 09:05:00,2023-06-30 15:00:00,2023-07-03 09:05:00,2023-12-29 15:00:00,87408,8928,640,0.005,429937.405000004,-9792.179999999877,43.9061991303274,91296,7.265062791004311
2,2019-01-02 09:05:00,2023-12-29 15:00:00,2024-01-02 09:05:00,2024-06-28 15:00:00,87408,8424,640,0.005,462503.39500000374,-9792.179999999877,47.23191311842813,91296,6.823716665996471
3,2019-07-01 09:05:00,2024-06-28 15:00:00,2024-07-01 09:05:00,2024-12-31 15:00:00,87336,9000,640,0.005,511419.05500000296,-9792.179999999877,52.22729310531561,91296,6.6868752500158735
4,2020-01-02 09:05:00,2024-12-31 15:00:00,2025-01-02 09:05:00,2025-06-30 15:00:00,87264,8424,2030,0.005,331613.54000000324,-6181.0900000002,53.649686382174096,91296,7.835278749989811
5,2020-07-01 09:05:00,2025-06-30 15:00:00,2025-07-01 09:05:00,2025-12-31 15:00:00,87264,9072,2030,0.005,406914.2300000031,-6181.090000000084,65.83211537123672,91296,8.534093750000466
