horizon_bars,horizon_minutes,positive_response,negative_response,positive_adjusted,negative_adjusted,adjusted_response,signal
1,5,2.825505072594394e-05,6.712287382006961e-06,2.825505072594394e-05,-6.712287382006961e-06,1.0771381671968489e-05,continuation
2,10,6.325466219335961e-05,-7.183302867682701e-06,6.325466219335961e-05,7.183302867682701e-06,3.521898253052116e-05,continuation
4,20,8.040411023915211e-05,4.8550143502460206e-06,8.040411023915211e-05,-4.8550143502460206e-06,3.777454794445305e-05,continuation
8,40,0.00016161936244799046,3.7948694169090485e-05,0.00016161936244799046,-3.7948694169090485e-05,6.183533413944999e-05,continuation
16,80,0.0002534349566587134,0.0001432374700146736,0.0002534349566587134,-0.0001432374700146736,5.509874332201988e-05,continuation
32,160,0.00031150292309435043,0.00017737218212512035,0.00031150292309435043,-0.00017737218212512035,6.706537048461504e-05,continuation
64,320,0.000394548710983913,0.0002240389635452525,0.000394548710983913,-0.0002240389635452525,8.525487371933025e-05,continuation
128,640,0.0008116419506595581,0.0007466352502406646,0.0008116419506595581,-0.0007466352502406646,3.250335020944675e-05,continuation
