horizon_bars,horizon_minutes,variance_ratio,z_stat,p_value,significant_5pct,signal
1,5,,,,False,not-applicable
2,10,0.9768743089438645,-8.203356122201647,2.337673918712346e-16,True,mean-reversion
4,20,0.9492504830963692,-10.44420724186388,1.5575121015434126e-25,True,mean-reversion
8,40,0.9369781858707094,-9.129851802314587,6.859312750718508e-20,True,mean-reversion
16,80,0.9393676951125232,-6.62570004554505,3.4560633653339655e-11,True,mean-reversion
32,160,0.9535908081829595,-3.9363912310096767,8.271608458917627e-05,True,mean-reversion
64,320,0.9703353682939675,-1.8465621421628744,0.0648106252338549,False,random-walk-like
128,640,0.9772951678663337,-0.9720723132167445,0.33101457484812546,False,random-walk-like
