Window,OOS_Start,OOS_End,OOS_Bars,ChnLen,StpPct,Entry_Position,End_Position,OOS_NetProfit,OOS_MaxDrawdown
1,2022-07-01 09:05:00,2022-12-30 15:00:00,9000,500,0.005,-1,0,29454.647500000625,-12293.847499999785
2,2023-01-03 09:05:00,2023-06-30 15:00:00,8496,3460,0.005,0,0,20050.019999999924,-4015.429999999964
3,2023-07-03 09:05:00,2023-12-29 15:00:00,8928,640,0.005,0,0,47310.070000000596,-8716.524999999834
4,2024-01-02 09:05:00,2024-06-28 15:00:00,8424,640,0.005,0,0,90378.11000000028,-4883.130000000034
5,2024-07-01 09:05:00,2024-12-31 15:00:00,9000,640,0.005,0,0,73692.01500000032,-17014.17749999973
6,2025-01-02 09:05:00,2025-06-30 15:00:00,8424,2030,0.005,0,0,143024.36000000022,-5742.262499999953
7,2025-07-01 09:05:00,2025-12-31 15:00:00,9072,2030,0.005,0,0,150987.13999999998,-13829.995000000024
