horizon_bars,horizon_minutes,positive_mean,positive_ci_lower,positive_ci_upper,negative_mean,negative_ci_lower,negative_ci_upper
1,5,2.825505072594394e-05,-6.753488528267259e-06,6.326358998015514e-05,6.712287382006961e-06,-2.1931340362430084e-05,3.535591512644401e-05
2,10,6.325466219335961e-05,1.930862617153853e-05,0.00010720069821518069,-7.183302867682701e-06,-5.1619693062803824e-05,3.725308732743843e-05
4,20,8.040411023915211e-05,1.9446978152789238e-05,0.000141361242325515,4.8550143502460206e-06,-5.698267145179508e-05,6.669270015228712e-05
8,40,0.00016161936244799046,7.85228115573861e-05,0.0002447159133385948,3.7948694169090485e-05,-4.8284894665260435e-05,0.0001241822830034414
16,80,0.0002534349566587134,0.00013882623015599923,0.0003680436831614275,0.0001432374700146736,1.7799865607825933e-05,0.00026867507442152126
32,160,0.00031150292309435043,0.00018072327151346065,0.00044228257467524023,0.00017737218212512035,4.0108346113891606e-05,0.00031463601813634906
64,320,0.000394548710983913,0.00020599982878596345,0.0005830975931818625,0.0002240389635452525,3.004891070038638e-05,0.00041802901639011864
128,640,0.0008116419506595581,0.0005355060928825388,0.0010877778084365775,0.0007466352502406646,0.00046103813156075403,0.0010322323689205752
