Timestamp,P&L,Position,Window,Specification,T_years,tau_months,ChnLen,StpPct,Equity,Drawdown
2024-07-01 09:05:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:10:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:15:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:20:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:25:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:30:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:35:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:40:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:45:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:50:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 09:55:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:00:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:05:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:10:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:15:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:20:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:25:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:30:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:35:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:40:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:45:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:50:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 10:55:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 11:00:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 11:05:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 11:10:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 11:15:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 11:20:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 11:25:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 11:30:00,0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
2024-07-01 11:35:00,-0.0,0,1,T6_tau3,6,3,640,0.005,100000.0,0.0
